Projeto;Tipo;Data Ensaio;Duraçao
E1111288A;CT;16/12/2019;3
E1111289A;CT;01/10/2019;3
E1111290A;CT;10/12/2019;3
E1111291A;CT;16/10/2019;3
E1111292A;CT;26/03/2020;3
E1111293A;CT;12/12/2019;3
E1111294A;CT;16/01/2020;3
E1111295A;CT;12/12/2019;3
E1111296A;CT;17/12/2019;5
E1111296Y;CT;24/03/2020;3
E1111297A;CT;10/12/2019;3
E1111298A;CT;11/03/2020;3
E1111303A;CT;09/03/2020;5
E1111304A;CT;24/01/2020;5
E1111305A;CT;08/06/2020;3
E1111306A;CT;20/02/2020;5
E1111307A;CT;20/12/2019;3
E1111308A;CT;28/04/2020;5
E1111309A;CT;04/11/2020;3
E1111310A;CT;19/02/2021;3
E1111311A;CT;02/04/2020;3
E1111312A;CT;06/04/2020;3
E1111313A;CT;06/04/2020;3
E1111315A;CT;11/05/2020;3
E1111316A;CT;11/05/2020;4
E1111317A;CT;11/05/2020;3
E1111318A;CT;18/05/2020;3
E1111319A;CT;30/03/2020;3
E1111321A;CT;08/07/2020;3
E1111322A;CT;29/07/2020;3
E1111323A;CT;02/01/2021;3
E1111324A;CT;01/06/2020;3
E1111325A;CT;10/11/2020;3
E1111326A;CT;12/10/2020;3
E1111327A;CT;19/02/2021;2
E1111327Y;CT;24/03/2021;2
E1111328A;CT;01/01/2021;2
E1111329A;CT;23/01/2021;3
E1111330A;CT;21/12/2020;2
E1111332A;CT;16/01/2021;2
E1111333A;CT;12/01/2021;2
E1111337A;CT;11/01/2021;2
E1111339A;CT;01/01/2021;2
E1111340A;CT;02/12/2020;3
E1111341A;CT;09/12/2020;2
E1111342A;CT;15/03/2021;2
E1111343A;CT;04/09/2021;2
E1111344A;CT;13/09/2021;2
E1111345A;CT;12/03/2021;2
E1111346A;CT;27/04/2021;2
E1111347A;CT;12/02/2021;2
E1111348A;CT;02/03/2021;2
E1111350A;CT;22/03/2021;3
E1111351A;CT;28/01/2021;3
E1111353A;CT;04/03/2021;3
E1111354A;CT;12/01/2021;3
E1111356A;CT;10/03/2021;3
E1111358A;CT;18/04/2021;2
E1111359A;CT;07/05/2021;3
E1320125A;ST;12/03/2018;3
E1320160B;ST;13/11/2017;2
E1320168B;ST;31/07/2017;3
E1320168C;ST;25/09/2017;2
E1320169A;ST;24/07/2017;3
E1320169B;ST;26/07/2017;2
E1320169C;ST;27/07/2017;2
E1320172A;ST;15/01/2018;5
E1320173A;ST;18/06/2018;5
E1320173B;ST;15/10/2018;3
E1320175A;ST;29/10/2018;3
E1320175B;ST;09/11/2018;2
E1320175C;ST;17/12/2018;2
E1320175D;ST;19/12/2018;2
E1320176A;ST;21/01/2019;5
E1320177A;ST;27/05/2019;5
E1320177B;ST;26/09/2019;5
E1320180A;ST;28/10/2019;3
E1320182A;ST;09/12/2019;3
E1320183A;ST;12/12/2019;3
E1320184A;ST;27/04/2020;3
E1320184B;ST;18/12/2020;5
V11100138;CT;18/10/2018;2
V1111165A;CT;03/12/2018;3
V1111166A;CT;06/12/2018;2
V1111170A;CT;03/12/2018;3
V1111171A;CT;09/01/2019;3
V1111198A;CT;08/07/2019;4
V1111199A;CT;12/09/2019;3
V1111235A;CT;16/07/2019;3
V1111239A;CT;25/11/2019;4
V1111240A;CT;02/02/2021;3
V1111248A;CT;17/12/2019;3
V1111249A;CT;08/10/2019;3
V1111251A;CT;16/11/2020;3
V1111264A;CT;14/11/2019;7
V1111269A;CT;10/10/2019;3
V1111299A;CT;02/01/2020;3
V1111300A;CT;28/04/2020;3
V1111301A;CT;03/01/2020;3
V1111302A;CT;10/09/2019;5
V1111314A;CT;04/11/2020;4
V1111320A;CT;03/02/2020;2
V1111334A;CT;21/01/2021;2
V1111335A;CT;19/01/2021;2
V1111357A;CT;17/05/2021;3
V1320171A;ST;07/09/2017;2
V1320174A;ST;28/05/2018;2
V1320179A;ST;10/12/2018;2
V1320179B;ST;19/12/2019;2
V1320179C;ST;31/08/2020;2
V1320181A;ST;03/01/2019;2
V1320185A;ST;19/11/2020;3
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
